bn:00000001n	08641944n
bn:00000129n	13744916n
bn:00000130n	13749894n
bn:00000131n	13750033n
bn:00000132n	04178190n
bn:00000133n	13745086n
bn:00000134n	13750164n
bn:00000135n	13651804n
bn:00000136n	15162764n
bn:00000137n	05096408n
bn:00000138n	13745270n
bn:00000139n	15300051n
bn:00000140n	13750297n
bn:00000141n	13658027n
bn:00000142n	15089803n
bn:00000143n	14829565n
bn:00000144n	14706889n
bn:00000145n	13637376n
bn:00000146n	06831177n
bn:00000147n	05400860n
bn:00000148n	08346286n
bn:00000149n	02753044n
bn:00000150n	08658469n
bn:00000151n	02697221n
bn:00000152n	06485431n
bn:00000153n	00902108n
bn:00000154n	08077035n
bn:00000155n	11178393n
bn:00000156n	11180812n
bn:00000157n	10906462n
bn:00000158n	10873937n
bn:00000159n	11061734n
bn:00000160n	11101250n
bn:00000161n	11162915n
bn:00000162n	10896452n
bn:00000163n	02556373n
bn:00000164n	11275035n
bn:00000165n	02666624n
bn:00000166n	00546070n
bn:00000167n	10810818n
bn:00000168n	06497117n
bn:00000169n	14431015n
bn:00000170n	14931472n
bn:00000171n	08010191n
bn:00000172n	06697935n
bn:00000173n	14106456n
bn:00000174n	08769439n
bn:00000175n	08780510n
bn:00000176n	08762243n
bn:00000177n	12740967n
bn:00000178n	08850663n
bn:00000179n	10806693n
bn:00000180n	09186064n
bn:00000181n	02082791n
bn:00000182n	02118176n
bn:00000183n	08762104n
bn:00000184n	10807016n
bn:00000185n	10806841n
bn:00000186n	12889713n
bn:00000187n	10874162n
bn:00000188n	10909929n
bn:00000189n	11373897n
bn:00000190n	08487149n
bn:00000191n	06698031n
bn:00000192n	06947658n
bn:00000193n	06698640n
bn:00000194n	15216563n
bn:00000195n	05557339n
bn:00000196n	05401096n
bn:00000197n	02666079n
bn:00000198n	02665985n
bn:00000199n	06425534n
bn:00000200n	14947558n
bn:00000201n	12353431n
bn:00000202n	02666347n
bn:00000203n	02666196n
bn:00000204n	08911602n
bn:00000205n	01942869n
bn:00000206n	13637722n
bn:00000207n	04885398n
bn:00000208n	07481223n
bn:00000209n	10107883n
bn:00000210n	09753930n
bn:00000211n	02666501n
bn:00000212n	00204439n
bn:00000213n	00055315n
bn:00000214n	00091013n
bn:00000215n	14294271n
bn:00000216n	14440623n
bn:00000217n	00273449n
bn:00000218n	07508092n
bn:00000219n	14549070n
bn:00000220n	14549284n
bn:00000221n	05830832n
bn:00000222n	07368256n
bn:00000223n	00361333n
bn:00000224n	00361459n
bn:00000225n	02666735n
bn:00000226n	09754051n
bn:00000227n	02666943n
bn:00000228n	02667093n
bn:00000229n	08011266n
bn:00000230n	08550364n
bn:00000231n	09754152n
bn:00000232n	02667244n
bn:00000233n	09754217n
bn:00000234n	02667576n
bn:00000235n	02667478n
bn:00000236n	02667379n
bn:00000237n	09754404n
bn:00000238n	11142368n
bn:00000239n	07091587n
bn:00000240n	00359135n
bn:00000241n	09754907n
bn:00000242n	05872742n
bn:00000243n	13636866n
bn:00000244n	11211236n
bn:00000245n	06439712n
bn:00000246n	07254456n
bn:00000247n	06511762n
bn:00000248n	09755657n
bn:00000249n	05556943n
bn:00000250n	05558345n
bn:00000251n	14259739n
bn:00000252n	05336635n
bn:00000253n	00833296n
bn:00000254n	00185778n
bn:00000255n	05557839n
bn:00000256n	05508735n
bn:00000257n	14047440n
bn:00000258n	05604434n
bn:00000259n	00943471n
bn:00000260n	00034777n
bn:00000261n	04999964n
bn:00000262n	05479108n
bn:00000263n	05316407n
bn:00000264n	00775460n
bn:00000265n	00333037n
bn:00000266n	10230801n
bn:00000267n	05291010n
bn:00000268n	09755788n
bn:00000269n	08093653n
bn:00000270n	06377971n
bn:00000271n	10807197n
bn:00000272n	09587217n
bn:00000273n	11332068n
bn:00000274n	10807317n
bn:00000275n	12732009n
bn:00000276n	12671651n
bn:00000277n	06017472n
bn:00000278n	12171750n
bn:00000279n	12171966n
bn:00000280n	12172481n
bn:00000281n	09645871n
bn:00000282n	08895148n
bn:00000283n	09153570n
bn:00000284n	09139380n
bn:00000285n	09094093n
bn:00000286n	08892186n
bn:00000287n	02405929n
bn:00000288n	14503665n
bn:00000289n	09755893n
bn:00000290n	14386590n
bn:00000291n	11420139n
bn:00000292n	14151884n
bn:00000293n	07251619n
bn:00000294n	09756049n
bn:00000295n	14010636n
bn:00000296n	13636529n
bn:00000297n	13639147n
bn:00000298n	07503430n
bn:00000299n	09756195n
bn:00000300n	01203676n
bn:00000301n	01053920n
bn:00000302n	01021889n
bn:00000303n	08736779n
bn:00000304n	09180616n
bn:00000305n	11620560n
bn:00000306n	11621547n
bn:00000307n	11621281n
bn:00000308n	11621950n
bn:00000309n	11622771n
bn:00000310n	11621727n
bn:00000311n	11622184n
bn:00000312n	11622368n
bn:00000313n	11622591n
bn:00000314n	09321694n
bn:00000315n	09142674n
bn:00000316n	09088151n
bn:00000317n	05200169n
bn:00000318n	05616246n
bn:00000319n	11420376n
bn:00000320n	09756400n
bn:00000321n	07428111n
bn:00000322n	07206096n
bn:00000323n	09754541n
bn:00000324n	09639543n
bn:00000325n	08487953n
bn:00000326n	06978656n
bn:00000327n	09019355n
bn:00000328n	13423405n
bn:00000329n	00198270n
bn:00000330n	00393369n
bn:00000331n	13423489n
bn:00000332n	06312418n
bn:00000333n	06312612n
bn:00000334n	07112103n
bn:00000335n	09756500n
bn:00000336n	01154237n
bn:00000337n	14152169n
bn:00000338n	06698775n
bn:00000339n	00255450n
bn:00000340n	02716626n
bn:00000341n	06908048n
bn:00000342n	07204665n
bn:00000343n	00205649n
bn:00000344n	09754633n
bn:00000345n	02667693n
bn:00000346n	06137759n
bn:00000347n	14501726n
bn:00000348n	05646535n
bn:00000349n	04798185n
bn:00000350n	00737188n
bn:00000351n	09676490n
bn:00000352n	15027888n
bn:00000353n	05733361n
bn:00000354n	14053965n
bn:00000355n	08558963n
bn:00000356n	03259505n	08559508n
bn:00000357n	13646694n
bn:00000358n	00228283n
bn:00000359n	05958208n
bn:00000360n	09756637n
bn:00000361n	02399942n
bn:00000362n	09487252n
bn:00000363n	09756961n
bn:00000364n	00745431n
bn:00000365n	09754780n
bn:00000366n	06933824n
bn:00000367n	09620794n
bn:00000368n	06940290n
bn:00000369n	00034939n
bn:00000370n	02667906n
bn:00000371n	00231315n
bn:00000372n	00230324n
bn:00000373n	07319652n
bn:00000374n	02668093n
bn:00000375n	09757175n
bn:00000376n	01460303n
bn:00000377n	14026166n
bn:00000378n	00346936n
bn:00000379n	00163406n
bn:00000380n	06392660n
bn:00000381n	06610063n
bn:00000382n	14466258n
bn:00000383n	14799244n
bn:00000384n	02668393n
bn:00000385n	02668613n
bn:00000386n	10807487n
bn:00000387n	05628031n
bn:00000388n	11132462n
bn:00000389n	11318824n
bn:00000390n	01440344n
bn:00000391n	01440467n
bn:00000392n	14286549n
bn:00000393n	13423615n
bn:00000394n	11460063n
bn:00000395n	04949066n
bn:00000396n	04780114n
bn:00000397n	00253395n
bn:00000398n	06468123n
bn:00000399n	02368280n
bn:00000400n	02368399n
bn:00000401n	00231887n
bn:00000402n	09757311n
bn:00000403n	11836556n
bn:00000404n	11837020n
bn:00000405n	11837204n
bn:00000406n	11837351n
bn:00000407n	11837562n
bn:00000408n	11837743n
bn:00000409n	11837970n
bn:00000410n	14054102n
bn:00000411n	01068528n
bn:00000412n	13160116n
bn:00000413n	04915462n
bn:00000414n	05069624n
bn:00000415n	05060476n
bn:00000416n	08804154n
bn:00000417n	14592028n
bn:00000418n	14312172n
bn:00000419n	14312363n
bn:00000420n	06011589n
bn:00000421n	13423779n
bn:00000422n	00392709n
bn:00000423n	09755241n
bn:00000424n	00055633n
bn:00000425n	00326809n
bn:00000426n	09757449n
bn:00000427n	13960974n
bn:00000428n	01234345n
bn:00000429n	15270862n
bn:00000430n	14088412n
bn:00000431n	00055793n
bn:00000432n	09757653n
bn:00000433n	06476573n
bn:00000434n	13817761n
bn:00000435n	01234528n
bn:00000436n	05701209n
bn:00000437n	07908411n
bn:00000438n	11929477n
bn:00000439n	14893881n
bn:00000440n	05854474n
bn:00000441n	14709791n
bn:00000442n	05132827n
bn:00000443n	13598237n
bn:00000444n	05090979n
bn:00000445n	13581067n
bn:00000446n	05658106n
bn:00000447n	13853002n
bn:00000448n	00029007n
bn:00000449n	05013095n
bn:00000450n	05712559n
bn:00000451n	13581465n
bn:00000452n	13589140n
bn:00000453n	05013204n
bn:00000454n	05124534n
bn:00000455n	04738398n
bn:00000456n	14574349n
bn:00000457n	00094240n
bn:00000458n	14443912n
bn:00000459n	08440630n
bn:00000460n	06213688n
bn:00000461n	05958337n
bn:00000462n	09755398n
bn:00000463n	09755555n
bn:00000464n	05089367n
bn:00000465n	14597628n
bn:00000466n	04940964n
bn:00000467n	14597413n
bn:00000468n	14598251n
bn:00000469n	14598079n
bn:00000470n	13586455n
bn:00000471n	13423922n
bn:00000472n	13424183n
bn:00000473n	13434878n
bn:00000474n	13434688n
bn:00000475n	05704266n
bn:00000476n	05700087n
bn:00000477n	11420631n
bn:00000478n	05010062n
bn:00000479n	14598383n
bn:00000480n	11421214n
bn:00000481n	13599871n
bn:00000482n	09758173n
bn:00000483n	09757944n
bn:00000484n	05114262n
bn:00000485n	04883942n
bn:00000486n	04882622n
bn:00000487n	01068773n
bn:00000488n	05854150n
bn:00000489n	06468951n
bn:00000490n	02669079n
bn:00000491n	09758424n
bn:00000492n	00002137n
bn:00000493n	02668747n
bn:00000494n	05772356n
bn:00000495n	05700625n
bn:00000496n	09755086n
bn:00000497n	00392848n
bn:00000498n	05780104n
bn:00000499n	02669001n
bn:00000500n	05940869n
bn:00000501n	04762134n
bn:00000502n	04823416n
bn:00000503n	05926358n
bn:00000504n	13928191n
bn:00000505n	06607809n
bn:00000506n	04891683n
bn:00000507n	10829733n
bn:00000508n	09044536n
bn:00000509n	08010364n
bn:00000510n	08020242n
bn:00000511n	08010559n
bn:00000512n	02607345n
bn:00000513n	02607470n
bn:00000514n	08974171n
bn:00000515n	09186225n
bn:00000516n	10829450n
bn:00000517n	05115040n
bn:00000518n	13820239n
bn:00000519n	13820000n
bn:00000520n	00419908n
bn:00000521n	06715223n
bn:00000522n	00947719n
bn:00000523n	09758643n
bn:00000524n	12172715n
bn:00000525n	12173069n
bn:00000526n	08620763n
bn:00000527n	02669295n
bn:00000528n	02669442n
bn:00000529n	09758781n
bn:00000530n	13642464n
bn:00000531n	13644165n
bn:00000532n	11373550n
bn:00000533n	09040299n
bn:00000534n	09186359n
bn:00000535n	09186592n
bn:00000536n	08778061n
bn:00000537n	02124313n
bn:00000538n	12353754n
bn:00000539n	14627655n
bn:00000540n	11423952n
bn:00000541n	11756092n
bn:00000542n	11756870n
bn:00000543n	11757017n
bn:00000544n	11757190n
bn:00000545n	11757653n
bn:00000546n	11757851n
bn:00000547n	11758122n
bn:00000548n	11758276n
bn:00000549n	11758483n
bn:00000550n	08274923n
bn:00000551n	09759069n
bn:00000552n	09758885n
bn:00000553n	02669534n
bn:00000554n	06697331n
bn:00000555n	08115204n
bn:00000556n	13992194n
bn:00000557n	02669723n
bn:00000558n	05909730n
bn:00000559n	13840404n
bn:00000560n	05892991n
bn:00000561n	15225249n
bn:00000562n	15203565n
bn:00000563n	09759501n
bn:00000564n	09759311n
bn:00000565n	00588473n
bn:00000566n	04802079n
bn:00000567n	08279298n
bn:00000568n	08280124n
bn:00000569n	08277805n
bn:00000570n	02669885n
bn:00000571n	07268967n
bn:00000572n	08280462n
bn:00000573n	08280649n
bn:00000574n	08821187n
bn:00000575n	08602037n
bn:00000576n	09677168n
bn:00000577n	12922283n
bn:00000578n	12922458n
bn:00000579n	13912839n
bn:00000580n	12811856n
bn:00000581n	05231264n
bn:00000582n	01588858n
bn:00000583n	01588996n
bn:00000584n	01588172n
bn:00000585n	01923171n
bn:00000586n	01923404n
bn:00000587n	11842861n
bn:00000588n	11843053n
bn:00000589n	02625132n
bn:00000590n	02625258n
bn:00000591n	05454452n
bn:00000592n	14071758n
bn:00000593n	14221601n
bn:00000594n	14235667n
bn:00000595n	01750027n
bn:00000596n	01750167n
bn:00000597n	02552171n
bn:00000598n	02551824n
bn:00000599n	02182498n
bn:00000600n	02182642n
bn:00000601n	14221741n
bn:00000602n	14221924n
bn:00000603n	02621107n
bn:00000604n	02621419n
bn:00000605n	02621577n
bn:00000606n	12812235n
bn:00000607n	12812478n
bn:00000608n	14042165n
bn:00000609n	08742205n
bn:00000610n	02670049n
bn:00000611n	14598834n
bn:00000612n	14019296n
bn:00000613n	14453066n
bn:00000614n	01780142n
bn:00000615n	01780026n
bn:00000616n	01775879n
bn:00000617n	01776192n
bn:00000618n	14598937n
bn:00000619n	14381732n
bn:00000620n	01781570n
bn:00000621n	05449538n
bn:00000622n	06348215n
bn:00000623n	14096123n
bn:00000624n	14014425n
bn:00000625n	09185865n
bn:00000626n	08196622n
bn:00000627n	15264726n
bn:00000628n	05060783n
bn:00000629n	00330457n
bn:00000630n	15275851n
bn:00000631n	13599982n
bn:00000632n	02670683n
bn:00000633n	02670186n
bn:00000634n	14723628n
bn:00000635n	02670382n
bn:00000636n	15071366n
bn:00000637n	02670935n
bn:00000638n	07131511n
bn:00000639n	14434866n
bn:00000640n	07155661n
bn:00000641n	07085375n
bn:00000642n	06822198n
bn:00000643n	01264243n
bn:00000644n	01527194n
bn:00000645n	07112805n
bn:00000646n	07085786n
bn:00000647n	04792679n
bn:00000648n	06193727n
bn:00000649n	00180413n
bn:00000650n	13932421n
bn:00000651n	07176073n
bn:00000652n	13381602n
bn:00000653n	04638175n
bn:00000654n	00082525n
bn:00000655n	00806621n
bn:00000656n	14412725n
bn:00000657n	06602801n
bn:00000658n	14583843n
bn:00000659n	09759684n
bn:00000660n	14833143n
bn:00000661n	05176188n
bn:00000662n	05175467n
bn:00000663n	02671062n
bn:00000664n	06354204n
bn:00000665n	02671224n
bn:00000666n	00281132n
bn:00000667n	02671988n
bn:00000668n	15171857n
bn:00000669n	09759875n
bn:00000670n	04718999n
bn:00000671n	04655649n
bn:00000672n	13424477n
bn:00000673n	13341962n
bn:00000674n	13253423n
bn:00000675n	07177192n
bn:00000676n	00236581n
bn:00000677n	02671780n
bn:00000678n	02671421n
bn:00000679n	09760080n
bn:00000680n	09760290n
bn:00000681n	05356442n
bn:00000682n	09760476n
bn:00000683n	13140367n
bn:00000684n	05356657n
bn:00000685n	05480401n
bn:00000686n	05356889n
bn:00000687n	08793310n
bn:00000688n	06871983n
bn:00000689n	06178238n
bn:00000690n	07301336n
bn:00000691n	07300960n
bn:00000692n	06064838n
bn:00000693n	06867345n
bn:00000694n	07313636n
bn:00000695n	01606335n
bn:00000696n	01606809n
bn:00000697n	01606522n
bn:00000698n	01606672n
bn:00000699n	01605119n
bn:00000700n	01604968n
bn:00000701n	06691684n
bn:00000702n	13424643n
bn:00000703n	09206985n
bn:00000704n	06696483n
bn:00000705n	02672152n
bn:00000706n	07369604n
bn:00000707n	07177437n
bn:00000708n	05755486n
bn:00000709n	02672371n
bn:00000710n	01210816n
bn:00000711n	00193225n
bn:00000712n	09760735n
bn:00000713n	02672646n
bn:00000714n	00117124n
bn:00000715n	10369166n
bn:00000716n	07284554n
bn:00000717n	07031752n
bn:00000718n	05109511n
bn:00000719n	00827782n
bn:00000720n	09760913n
bn:00000721n	05357160n
bn:00000722n	09761068n
bn:00000723n	00047941n
bn:00000724n	00035189n
bn:00000725n	05637558n
bn:00000726n	13971065n
bn:00000727n	07176804n
bn:00000728n	06773434n
bn:00000729n	04713332n
bn:00000730n	07178525n
bn:00000731n	01086572n
bn:00000732n	02672831n
bn:00000733n	03376771n
bn:00000734n	09761310n
bn:00000735n	13448334n
bn:00000736n	10369699n
bn:00000737n	10314836n
bn:00000738n	06514093n
bn:00000739n	06681551n
bn:00000740n	13929037n
bn:00000741n	06738281n
bn:00000742n	09179382n
bn:00000743n	05169037n
bn:00000744n	13354985n
bn:00000745n	07217924n
bn:00000746n	06516955n
bn:00000747n	05157732n
bn:00000748n	13404248n
bn:00000749n	09761753n
bn:00000750n	14490801n
bn:00000751n	04669828n
bn:00000752n	00618734n
bn:00000753n	09761403n
bn:00000754n	00588598n
bn:00000755n	06739509n
bn:00000756n	05662532n
bn:00000757n	13405962n
bn:00000758n	08462534n
bn:00000759n	13405296n
bn:00000760n	08062326n
bn:00000761n	05955593n
bn:00000762n	13407561n
bn:00000763n	13407208n
bn:00000764n	08946564n
bn:00000765n	01140193n
bn:00000766n	13424865n
bn:00000767n	13754565n
bn:00000768n	13425425n
bn:00000769n	13425245n
bn:00000770n	13425067n
bn:00000771n	13263540n
bn:00000772n	00372013n
bn:00000773n	13406638n
bn:00000774n	01128984n
bn:00000775n	05984936n
bn:00000776n	05757049n
bn:00000777n	07951464n
bn:00000778n	13366693n
bn:00000779n	09936362n
bn:00000780n	04328329n
bn:00000781n	02673078n
bn:00000782n	04802907n
bn:00000783n	04803209n
bn:00000784n	07234230n
bn:00000785n	06730780n
bn:00000786n	06311557n
bn:00000787n	09762011n
bn:00000788n	09762385n
bn:00000789n	02673291n
bn:00000790n	09762509n
bn:00000791n	14735642n
bn:00000792n	08175498n
bn:00000793n	00568701n
bn:00000794n	02673637n
bn:00000795n	02674101n
bn:00000796n	02674184n
bn:00000797n	02674273n
bn:00000798n	02674358n
bn:00000799n	02673480n
bn:00000800n	00758795n
bn:00000801n	12975804n
bn:00000802n	05444610n
bn:00000803n	14019441n
bn:00000804n	12752039n
bn:00000805n	12755559n
bn:00000806n	12754648n
bn:00000807n	12754468n
bn:00000808n	12754174n
bn:00000809n	12755727n
bn:00000810n	12754003n
bn:00000811n	12755225n
bn:00000812n	12755387n
bn:00000813n	12755876n
bn:00000814n	12753762n
bn:00000815n	12754781n
bn:00000816n	12754981n
bn:00000817n	12753573n
bn:00000818n	12753007n
bn:00000819n	12753245n
bn:00000820n	12754311n
bn:00000821n	12751823n
bn:00000822n	13157595n
bn:00000823n	04995009n
bn:00000824n	04994126n
bn:00000825n	04643397n
bn:00000826n	12694486n
bn:00000827n	07746334n
bn:00000828n	11533026n
bn:00000829n	05596224n
bn:00000830n	14710805n
bn:00000831n	14711008n
bn:00000832n	14710935n
bn:00000833n	14711197n
bn:00000834n	02674482n
bn:00000835n	02674912n
bn:00000836n	14599806n
bn:00000837n	02675219n
bn:00000838n	02675077n
bn:00000839n	14599168n
bn:00000840n	14768640n
bn:00000841n	14599494n
bn:00000842n	14927051n
bn:00000843n	14600504n
bn:00000844n	14926595n
bn:00000845n	14267205n
bn:00000846n	14271480n
bn:00000847n	02675354n
bn:00000848n	14599641n
bn:00000849n	07828987n
bn:00000850n	14594456n
bn:00000851n	14808911n
bn:00000852n	13425637n
bn:00000853n	14808418n
bn:00000854n	14600742n
bn:00000855n	02748618n
bn:00000856n	08782490n
bn:00000857n	09710619n
bn:00000858n	08160586n
bn:00000859n	14323683n
bn:00000860n	12036067n
bn:00000861n	09186709n
bn:00000862n	02299715n
bn:00000863n	02299846n
bn:00000864n	10807858n
bn:00000865n	13425839n
bn:00000866n	02229867n
bn:00000867n	02230187n
bn:00000868n	02230023n
bn:00000869n	14482444n
bn:00000870n	09762821n
bn:00000871n	11238303n
bn:00000872n	11916467n
bn:00000873n	11916696n
bn:00000874n	11916965n
bn:00000875n	09594298n
bn:00000876n	05042468n
bn:00000877n	05578740n
bn:00000878n	12830222n
bn:00000879n	12351091n
bn:00000880n	14054262n
bn:00000881n	11323849n
bn:00000882n	02608151n
bn:00000883n	02608284n
bn:00000884n	14054465n
bn:00000885n	09645996n
bn:00000886n	08488081n
bn:00000887n	06921755n
bn:00000888n	09186928n
bn:00000889n	14121804n
bn:00000890n	12772419n
bn:00000891n	12774641n
bn:00000892n	04977561n
bn:00000893n	04960079n
bn:00000894n	02675522n
bn:00000895n	05655482n
bn:00000896n	04958634n
bn:00000897n	05436381n
bn:00000898n	04959061n
bn:00000899n	04416530n
bn:00000900n	14054642n
bn:00000901n	09187036n
bn:00000902n	14607521n
bn:00000903n	02675657n
bn:00000904n	13425980n
bn:00000905n	14609198n
bn:00000906n	14808617n
bn:00000907n	14754378n
bn:00000908n	14808752n
bn:00000909n	09763272n
bn:00000910n	14640890n
bn:00000911n	14517629n
bn:00000912n	07065562n
bn:00000913n	05747495n
bn:00000914n	13581598n
bn:00000915n	14020753n
bn:00000916n	13426238n
bn:00000917n	00647919n
bn:00000918n	04993882n
bn:00000919n	05716961n
bn:00000920n	05039526n
bn:00000921n	01349333n
bn:00000922n	01380298n
bn:00000923n	07845571n
bn:00000924n	14019600n
bn:00000925n	02130190n
bn:00000926n	02130308n
bn:00000927n	12839409n
bn:00000928n	12839574n
bn:00000929n	13138155n
bn:00000930n	05516366n
bn:00000931n	02640453n
bn:00000932n	02640857n
bn:00000933n	02640626n
bn:00000934n	02640093n
bn:00000935n	02715712n
bn:00000936n	07762740n
bn:00000937n	14411981n
bn:00000938n	06628861n
bn:00000939n	06763681n
bn:00000940n	08174995n
bn:00000941n	08490531n
bn:00000942n	13940456n
bn:00000943n	08677801n
bn:00000944n	14222112n
bn:00000945n	14222352n
bn:00000946n	14222541n
bn:00000947n	01425817n
bn:00000948n	11768242n
bn:00000949n	11768505n
bn:00000950n	11768816n
bn:00000951n	09763349n
bn:00000952n	09187204n
bn:00000953n	11722982n
bn:00000954n	11722769n
bn:00000955n	11723452n
bn:00000956n	11723227n
bn:00000957n	11780747n
bn:00000958n	14021853n
bn:00000959n	08985345n
bn:00000960n	12267677n
bn:00000961n	01998741n
bn:00000962n	12267931n
bn:00000963n	12160857n
bn:00000964n	07717410n
bn:00000965n	02675885n
bn:00000966n	11780589n
bn:00000967n	11780930n
bn:00000968n	14377830n
bn:00000969n	02675987n
bn:00000970n	14097893n
bn:00000971n	07266442n
bn:00000972n	02676097n
bn:00000973n	02676261n
bn:00000974n	03452267n
bn:00000975n	02676566n
bn:00000976n	11504478n
bn:00000977n	05248667n
bn:00000978n	02676670n
bn:00000979n	05479503n
bn:00000980n	11425401n
bn:00000981n	05100866n
bn:00000982n	11512331n
bn:00000983n	05100981n
bn:00000984n	11510714n
bn:00000985n	02676805n
bn:00000986n	07347224n
bn:00000987n	09763668n
bn:00000988n	14384227n
bn:00000989n	06094774n
bn:00000990n	05817145n
bn:00000991n	13930245n
bn:00000992n	09763784n
bn:00000993n	14413162n
bn:00000994n	07175575n
bn:00000995n	14207388n
bn:00000996n	14127782n
bn:00000997n	14528193n
bn:00000998n	00864226n
bn:00000999n	07498455n
bn:00001000n	09764201n
bn:00001001n	08419562n
bn:00001002n	08419354n
bn:00001003n	08419163n
bn:00001004n	00041899n
bn:00001005n	00077419n
bn:00001006n	13253255n
bn:00001007n	05752544n
bn:00001008n	06527710n
bn:00001009n	04946078n
bn:00001010n	01193886n
bn:00001011n	06552814n
bn:00001012n	08811812n
bn:00001013n	12975982n
bn:00001014n	13613742n
bn:00001015n	08854725n
bn:00001016n	13617468n
bn:00001017n	13617630n
bn:00001018n	05128870n
bn:00001019n	13246662n
bn:00001020n	02226821n
bn:00001021n	02226598n
bn:00001022n	05717266n
bn:00001023n	04995100n
bn:00001024n	04780232n
bn:00001025n	01577818n
bn:00001026n	01577941n
bn:00001027n	03979847n
bn:00001028n	01651370n
bn:00001029n	01651641n
bn:00001030n	01651778n
bn:00001031n	14028291n
bn:00001032n	09764381n
bn:00001033n	01882372n
bn:00001034n	00438065n
bn:00001035n	00434075n
bn:00001036n	00302861n
bn:00001037n	11539289n
bn:00001038n	12490330n
bn:00001039n	12490490n
bn:00001040n	05444709n
bn:00001041n	01565480n
bn:00001042n	01565599n
bn:00001043n	14164190n
bn:00001044n	11917186n
bn:00001045n	11917407n
bn:00001046n	12583529n
bn:00001047n	12583855n
bn:00001048n	12583681n
bn:00001049n	14303448n
bn:00001050n	01324916n
bn:00001051n	11536369n
bn:00001052n	14998290n
bn:00001053n	14368483n
bn:00001054n	05280365n
bn:00001055n	14021936n
bn:00001056n	14022068n
bn:00001057n	14545548n
bn:00001058n	07091902n
bn:00001059n	14382766n
bn:00001060n	07230796n
bn:00001061n	02676938n
bn:00001062n	01917434n
bn:00001063n	05457795n
bn:00001064n	06786209n
bn:00001065n	06366130n
bn:00001066n	13206001n
bn:00001067n	13206178n
bn:00001068n	14711364n
bn:00001069n	14998421n
bn:00001070n	14593671n
bn:00001071n	14965958n
bn:00001072n	02677136n
bn:00001073n	02677028n
bn:00001074n	14998522n
bn:00001075n	14998677n
